rank,name,score,date
1,Sousou no Frieren,9.31,2025-04-08
2,Fullmetal Alchemist: Brotherhood,9.10,2025-04-08
3,Steins;Gate,9.07,2025-04-08
4,Shingeki no Kyojin Season 3 Part 2,9.05,2025-04-08
5,One Piece Fan Letter,9.05,2025-04-08
6,Gintama°,9.05,2025-04-08
7,Gintama: The Final,9.04,2025-04-08
8,Hunter x Hunter (2011),9.03,2025-04-08
9,Gintama',9.02,2025-04-08
10,Gintama': Enchousen,9.02,2025-04-08
11,Ginga Eiyuu Densetsu,9.01,2025-04-08
12,Bleach: Sennen Kessen-hen,9.00,2025-04-08
13,Gintama.,8.98,2025-04-08
14,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.98,2025-04-08
15,Fruits Basket: The Final,8.95,2025-04-08
16,Clannad: After Story,8.93,2025-04-08
17,Gintama,8.93,2025-04-08
18,Koe no Katachi,8.93,2025-04-08
19,3-gatsu no Lion 2nd Season,8.91,2025-04-08
20,Code Geass: Hangyaku no Lelouch R2,8.91,2025-04-08
21,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.90,2025-04-08
22,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,2025-04-08
23,Monster,8.88,2025-04-08
24,Kusuriya no Hitorigoto,8.87,2025-04-08
25,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.87,2025-04-08
26,Owarimonogatari 2nd Season,8.86,2025-04-08
27,Violet Evergarden Movie,8.85,2025-04-08
28,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.83,2025-04-08
29,Kimi no Na wa.,8.83,2025-04-08
30,Kingdom 3rd Season,8.83,2025-04-08
31,Kusuriya no Hitorigoto 2nd Season,8.82,2025-04-08
32,Vinland Saga Season 2,8.81,2025-04-08
33,Gintama. Shirogane no Tamashii-hen,8.81,2025-04-08
34,Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.80,2025-04-08
35,Hajime no Ippo,8.78,2025-04-08
36,Kizumonogatari III: Reiketsu-hen,8.78,2025-04-08
37,Mob Psycho 100 II,8.78,2025-04-08
38,Shingeki no Kyojin: The Final Season,8.78,2025-04-08
39,Sen to Chihiro no Kamikakushi,8.77,2025-04-08
40,Vinland Saga,8.77,2025-04-08
41,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,2025-04-08
42,Shingeki no Kyojin: The Final Season Part 2,8.76,2025-04-08
43,Jujutsu Kaisen 2nd Season,8.76,2025-04-08
44,Monogatari Series: Second Season,8.76,2025-04-08
45,Bocchi the Rock!,8.75,2025-04-08
46,Boku no Kokoro no Yabai Yatsu 2nd Season,8.75,2025-04-08
47,Cowboy Bebop,8.75,2025-04-08
48,Ashita no Joe 2,8.74,2025-04-08
49,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.74,2025-04-08
50,Kingdom 4th Season,8.73,2025-04-08
51,One Piece,8.73,2025-04-08
52,Shiguang Dailiren,8.73,2025-04-08
53,The First Slam Dunk,8.73,2025-04-08
54,Kimetsu no Yaiba: Yuukaku-hen,8.72,2025-04-08
55,Kingdom 5th Season,8.72,2025-04-08
56,Mushishi Zoku Shou 2nd Season,8.72,2025-04-08
57,Hibike! Euphonium 3,8.72,2025-04-08
58,86 Part 2,8.71,2025-04-08
59,Mob Psycho 100 III,8.71,2025-04-08
60,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.70,2025-04-08
61,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.70,2025-04-08
62,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.70,2025-04-08
63,Chi. Chikyuu no Undou ni Tsuite,8.70,2025-04-08
64,Code Geass: Hangyaku no Lelouch,8.70,2025-04-08
65,Mushishi Zoku Shou,8.69,2025-04-08
66,Mo Dao Zu Shi: Wanjie Pian,8.68,2025-04-08
67,Monogatari Series: Off & Monster Season,8.68,2025-04-08
68,Bleach: Sennen Kessen-hen - Soukoku-tan,8.68,2025-04-08
69,Great Teacher Onizuka,8.68,2025-04-08
70,Violet Evergarden,8.68,2025-04-08
71,Hajime no Ippo: New Challenger,8.67,2025-04-08
72,Howl no Ugoku Shiro,8.67,2025-04-08
73,Mononoke Hime,8.66,2025-04-08
74,Tian Guan Cifu Er,8.66,2025-04-08
75,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.65,2025-04-08
76,Look Back,8.65,2025-04-08
77,Mushishi,8.65,2025-04-08
78,Odd Taxi,8.65,2025-04-08
79,Made in Abyss,8.64,2025-04-08
80,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.64,2025-04-08
81,Shigatsu wa Kimi no Uso,8.64,2025-04-08
82,Shiguang Dailiren II,8.64,2025-04-08
83,Tengen Toppa Gurren Lagann,8.64,2025-04-08
84,Shingeki no Kyojin Season 3,8.63,2025-04-08
85,Natsume Yuujinchou Shi,8.63,2025-04-08
86,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62,2025-04-08
87,Ping Pong the Animation,8.62,2025-04-08
88,Bungou Stray Dogs 5th Season,8.62,2025-04-08
89,Death Note,8.62,2025-04-08
90,Haikyuu!! Movie: Gomisuteba no Kessen,8.62,2025-04-08
91,Haikyuu!! Second Season,8.62,2025-04-08
92,Cyberpunk: Edgerunners,8.61,2025-04-08
93,Hajime no Ippo: Rising,8.61,2025-04-08
94,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61,2025-04-08
95,Made in Abyss: Retsujitsu no Ougonkyou,8.61,2025-04-08
96,Natsume Yuujinchou Roku,8.61,2025-04-08
97,Kenpuu Denki Berserk,8.60,2025-04-08
98,Dungeon Meshi,8.60,2025-04-08
99,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59,2025-04-08
100,Suzumiya Haruhi no Shoushitsu,8.59,2025-04-08
